Timestamp,Alpha1,Alpha2,Beta1,Beta2,Delta,Gamma1,Gamma2,Theta,Meditation,Attention,Raw,Signal
3,51877,28809,51974,26868,131819,32064,19904,188302,0,0,83,100
1055,30740,7337,24481,20271,3031924,11316,3607,139543,0,0,28,100
2111,34785,38754,6694,20789,439767,16744,7141,167303,41,30,138,100
3166,11420,16576,18143,15540,188550,5982,2200,62331,40,54,66,100
4218,111397,55569,27917,29072,433812,22138,26937,342689,43,37,9,100
5364,123743,164466,47244,30621,2704060,14402,14764,729912,44,17,27,100
6471,18953,54969,31442,33157,1901783,25432,10397,588265,24,21,42,100
7571,27352,7509,12865,7045,525873,3730,3095,83818,27,1,41,100
8690,40480,37983,13656,3921,1415896,7206,4091,83931,38,1,368,100
9814,52609,27446,9065,9742,579090,3248,3917,64178,54,17,69,100
10915,2888,1933,935,1859,43949,1850,1343,5500,80,44,171,100
12013,56132,159109,25066,41953,2211545,24808,25793,569831,80,44,132,100
13122,133787,109064,34266,77490,2130558,11278,12602,320351,47,74,219,100
14232,6082,127011,66872,64512,1309781,19863,11552,312046,47,74,104,74
15350,13949,23469,8733,5417,908701,3216,3769,56843,47,48,68,100
16452,33405,251508,27208,63718,1523061,46680,19596,281556,60,63,162,100
17577,13697,17965,21849,8564,744099,10536,3352,155046,57,63,-103,100
18677,111190,94146,121214,193308,2602986,89906,38613,385586,48,69,-1,100
19781,98890,86838,96533,57907,2313623,9334,17831,487897,38,74,-37,100
20903,11619,15906,30297,5125,262210,1760,1469,78442,17,53,209,100
22004,6690,10494,14152,8052,811581,3358,3021,52644,38,34,17,100
23109,72104,21423,19189,19825,1132510,33578,6670,119380,50,35,240,100
24213,47119,27309,68596,34859,710383,6734,11561,81608,57,60,60,100
25337,10743,33915,41831,17709,38711,15984,7600,34577,51,87,75,100
26441,9751,8152,1486,7585,78133,3987,1893,30973,63,93,-11,100
27575,9426,17701,1425,6866,166611,1305,2379,16017,75,100,87,100
28679,5044,30824,14177,18869,46929,10579,6903,66215,74,100,-7,100
29786,7013,19724,2288,5222,31633,2523,1551,7815,90,91,-17,100
30973,58723,15522,28208,9107,32698,14780,16216,58341,96,75,42,100
32170,16375,7445,13435,8190,118120,14533,3015,80353,75,60,-12,100
33374,44434,78825,26534,10450,89805,11496,14222,32913,75,47,24,100
34563,12092,6491,11693,15933,32664,14013,4168,18416,64,75,136,100
35757,10537,30581,9988,16913,215616,3252,3282,41606,61,75,27,100
36943,4611,45702,10752,5112,860039,4181,1386,90709,70,57,39,100
38143,71360,11148,23363,18812,4855,24623,3719,35611,64,41,28,100
39351,22151,23272,18822,15204,16897,10870,5784,32646,64,40,36,100
40570,50881,23929,8976,11963,18692,17966,4649,13352,87,61,135,100
41776,16696,14206,20256,6199,376197,9724,8018,26538,91,67,116,100
42981,72525,53476,14545,7892,43761,8878,7366,34303,100,51,26,100
44162,60864,55577,11530,13491,70764,9423,10487,131326,90,34,160,100
45354,15669,8777,12553,12749,417635,16506,11354,147511,67,27,-27,100
46541,31355,27426,10764,30433,305554,13719,20383,84846,47,48,22,100
47745,44003,28915,15949,8930,38255,6435,5195,32799,47,41,-5,100
48942,3366,18343,17371,23700,4341,8973,4686,52411,29,66,64,100
50145,67000,76064,23297,18249,468210,9263,6242,52010,83,53,-44,100
51333,21098,23468,6215,24057,281806,13332,11706,62719,66,66,44,100
52555,26276,138107,17159,12009,525461,7140,8902,33363,96,41,74,100
53744,13266,128384,9799,21228,131138,13199,8977,222786,75,40,22,100
54968,11078,12725,5592,2350,21873,3617,1197,5320,77,37,51,100
56180,32669,26092,7110,10469,350572,3716,3911,39987,83,26,17,100
57368,22807,104270,19151,14294,22857,8125,9172,57257,94,29,130,100
58559,14722,11898,29524,19452,237602,15701,5693,60258,69,47,65,100
59752,171451,17095,12888,15153,648571,3651,6588,109182,63,43,37,100
60941,49452,51290,14070,9359,11342,6953,9505,37834,69,37,22,100
62131,33450,32222,16363,14498,33069,10081,2886,19157,93,38,86,100
63325,34057,4695,5813,6522,9992,9014,6279,14247,94,53,-4,100
64511,11371,100422,27637,9204,10284,12546,5295,27940,94,51,-36,100
65721,174536,8188,19784,7267,26450,6966,6679,41770,100,35,101,100
66909,10463,55402,10651,9431,14306,3353,7451,42460,100,23,64,100
68099,23438,28553,10943,9684,14291,5913,4576,15067,83,43,29,100
69289,24320,11466,12040,13201,18661,4567,3395,113996,53,56,29,100
70501,19031,3216,6541,10430,20093,1733,3752,25619,43,70,29,100
71691,4463,7876,3008,3110,145829,3434,611,6148,53,66,4,100
72878,165146,10098,16356,8277,204451,10195,6341,69688,56,47,22,100
74059,24362,44217,20341,12091,13247,6907,4687,67646,80,27,45,100
75263,91511,13249,10913,7999,514549,8388,9586,79650,78,8,24,100
76464,25383,9115,16225,8700,72061,8680,2506,12156,69,34,-18,100
77660,98453,31795,9131,8764,947664,14173,4708,80051,74,26,42,100
78851,45084,23847,17342,8392,212577,6427,4325,214535,63,13,-44,100
80039,77392,30083,40396,14500,13143,10216,7129,33766,75,4,65,100
81228,17374,7445,18677,9046,8236,4812,6272,95583,50,11,60,100
82417,33352,19137,7432,8190,23321,3945,7167,11883,74,34,9,100
83600,45905,27058,5077,5883,51641,6536,4587,22773,74,38,58,100
84784,24318,4704,3173,3568,27882,2282,1061,20083,70,34,35,100
85979,101161,21294,7530,6152,65991,5413,4567,33942,100,11,173,100
87168,7837,5726,1232,5796,3734,887,2750,16388,96,27,81,100
88354,42609,25529,33220,10162,34206,7327,7621,16281,96,35,68,100
89550,60628,27090,5236,10538,44205,4238,6032,14641,96,44,27,100
90740,50383,10797,9027,11373,12612,10426,4928,29445,87,61,45,100
91941,14451,11757,30443,14258,83134,5267,5187,35848,64,75,50,100
93133,24661,71782,19723,6415,70856,13712,11733,58334,53,60,7,100
94342,103253,18257,16786,5929,52019,6873,8907,72643,53,40,50,100
95531,26803,22786,28839,18863,44532,6547,15891,39919,57,38,123,100
96741,24439,51629,17243,14335,18317,7163,6237,10429,80,35,56,100
97931,36130,118824,6997,15290,28921,8902,3777,19204,100,51,139,100
99121,3324,2487,1773,2190,9814,2611,1651,9582,97,44,-27,100
100344,20757,12037,7383,6622,26336,12127,6776,18953,90,40,83,100
101448,249416,5012,15625,5188,1209091,12395,5451,91546,84,30,58,100
102554,11069,27353,10170,7611,112434,9985,9995,83169,57,30,56,100
103682,53989,11931,8603,9976,280758,13697,6038,20314,77,30,81,100
104792,6719,8167,2221,1809,71825,2378,1338,29476,51,51,59,100
105986,47803,27166,15164,26980,25470,16525,6974,43845,63,66,70,100
107183,212660,9779,15409,15073,73397,13680,8487,93511,61,56,29,100
108366,125037,10385,12994,11620,143604,12338,10080,67714,69,43,84,100
109580,43668,14163,17767,12414,179442,18521,10843,36432,78,56,40,100
110771,77473,12187,28329,6736,249575,13856,16476,35137,81,38,101,100
111979,50352,41149,22789,6341,10038,6381,6409,13740,63,56,38,100
113169,74123,50197,4991,14980,17533,21222,5169,8937,81,53,116,100
114363,67790,6492,10606,10764,33447,18815,8448,4115,91,64,26,100
115552,16403,19053,4147,8143,36487,11446,4394,64368,96,54,149,100
116657,169895,25099,19047,16650,26111,11051,8172,16702,100,60,-8,100
117781,64319,17030,8156,9949,15180,6320,3506,44290,88,43,145,100
118888,84650,22741,6361,23764,21079,16454,10640,66498,100,50,58,100
119995,92395,21278,31909,13697,44914,6031,24579,16270,90,51,39,100
121097,15194,52254,4511,21423,102221,19858,21861,24334,78,69,36,100
122202,19723,35170,10672,9464,371091,8837,8637,65447,70,70,68,100
123329,1175,21685,39293,8563,499208,10499,2929,57831,53,69,36,100
124433,7222,38447,15287,9008,14746,5891,4166,28034,47,70,81,100
125534,823,1540,3868,3417,17675,2706,1777,5611,23,80,115,100
126669,5815,17513,8925,4224,1291512,3223,1788,59738,14,74,-61,100
127772,34812,93824,20783,16118,86091,6921,9346,67567,37,57,60,100
128876,68423,60746,25197,18768,115962,8893,5993,68943,56,40,64,100
130001,113640,8929,32724,12637,298444,4915,5906,403008,54,27,-134,100
131107,105172,27770,139580,56548,491207,17944,13502,133021,44,47,-110,100
132207,6811,3691,4528,6130,328288,1662,1275,34607,24,51,128,100
133315,96574,40738,40134,14371,750091,8391,10339,72577,23,48,87,100
134425,7663,8397,1398,4464,51097,7135,1369,20706,34,69,128,100
135546,23598,20090,36132,25895,782152,14164,14280,82998,29,69,43,100
136647,3082,7265,8310,7402,87022,3524,1673,24495,30,66,98,100
137755,2742,15589,20955,12904,170740,21809,11089,40179,20,74,20,100
138878,16687,13452,14040,10080,76268,7040,12130,17161,29,75,-9,100
139981,1258,5391,1629,1886,56871,948,366,3262,27,94,88,100
141086,29862,34811,10309,6586,120650,7646,3222,103534,37,74,16,100
142195,21156,8545,6018,3199,271033,3401,716,22050,51,57,39,100
143303,12677,22006,10227,24934,900547,10625,12741,163172,35,51,-98,100
144412,38610,6615,18230,17731,1334127,16213,12815,255311,14,37,-12,100
145538,39110,5976,3598,4913,916217,2334,5152,42224,21,41,-13,100
