Timestamp,Alpha1,Alpha2,Beta1,Beta2,Delta,Gamma1,Gamma2,Theta,Meditation,Attention,Raw,Signal
805,11234,17161,14544,17484,1688925,8028,2997,28054,48,54,58,100
1851,12645,9500,3933,9921,436719,3102,2631,69441,53,56,4,100
2888,5390,6094,6385,5303,154225,3188,1027,46857,44,60,24,100
3929,1831,1465,1765,1820,157251,2218,430,21003,24,56,-101,100
4975,3123,6186,13081,6565,1265084,3432,5395,55820,8,47,451,100
6022,28669,60923,37394,15070,491887,4378,4055,148978,14,43,5,100
7070,8358,4388,7500,2582,801941,2629,1146,66371,13,35,102,100
8106,185487,331697,826749,659950,750123,516724,617389,741684,21,51,-20,100
9146,20982,23788,10089,7934,1940760,2849,9443,95039,21,51,87,74
10191,251184,318450,198784,125662,890843,102513,57254,351136,47,53,81,100
11229,43428,165161,117936,172798,1200177,33261,44757,372798,41,66,860,100
12277,932344,797189,360811,273963,2361377,74056,86580,1312145,64,75,144,100
13325,24144,22454,34792,44676,1962215,11422,7581,141130,63,66,-29,100
14377,4511,13902,23868,6795,633757,5461,3573,71741,54,57,133,100
15425,54943,40535,41053,30188,774117,19101,17953,257611,40,57,0,100
16472,18688,84970,48627,19823,891199,33843,5825,367588,40,43,-22,100
17520,77574,25724,11773,23578,563836,10251,6141,91732,40,41,32,100
18570,6278,26154,20580,27063,270125,7260,7265,65149,48,51,93,100
19617,7940,5505,8981,3147,136063,2016,1336,97420,37,43,-34,100
20655,34447,16439,17961,18733,2260910,6255,2676,114112,41,51,90,100
21701,20088,10405,23908,38598,625726,6916,6473,190564,16,53,39,100
22750,7716,1933,1553,3677,84644,4383,2188,16089,21,48,33,100
23796,88446,37067,44627,141232,1473957,79169,35817,168546,37,70,92,100
24848,13535,7122,2556,5350,142855,1838,3956,28262,44,70,-1,100
25894,6771,9488,20374,6754,94931,2529,12963,36530,54,69,75,100
26942,16845,1920,12717,10232,99820,5098,2940,43666,48,69,50,100
27990,2983,11386,11599,7385,367149,6824,6117,39620,41,57,59,100
29039,8727,6553,10018,27306,73516,7706,4062,17185,30,75,54,100
30088,13986,23689,34937,15568,59909,6149,3324,12212,43,81,8,100
